t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.278000,0.04643413,0.00000803,0.51156074,0.00000613,-0.00766238,0.00000804,0.18833019,-0.00005632,0.02142887,-0.00022561,0.15687516,-0.00009733
0.280000,0.04681076,0.00000792,0.51160377,0.00000568,-0.00734953,0.00000785,0.18827535,-0.00005810,0.02176079,-0.00022531,0.15507036,-0.00009617
0.282000,0.04718729,0.00000780,0.51164745,0.00000523,-0.00704029,0.00000766,0.18822318,-0.00005988,0.02209055,-0.00022494,0.15327418,-0.00009497
0.284000,0.04756371,0.00000768,0.51169180,0.00000479,-0.00673464,0.00000748,0.18817349,-0.00006165,0.02241802,-0.00022451,0.15148811,-0.00009374
0.286000,0.04794003,0.00000755,0.51173680,0.00000434,-0.00643255,0.00000729,0.18812604,-0.00006341,0.02274309,-0.00022401,0.14971338,-0.00009248
0.288000,0.04831626,0.00000743,0.51178245,0.00000390,-0.00613401,0.00000711,0.18808053,-0.00006516,0.02306562,-0.00022344,0.14795110,-0.00009119
0.290000,0.04869240,0.00000730,0.51182874,0.00000345,-0.00583898,0.00000693,0.18803652,-0.00006691,0.02338549,-0.00022282,0.14620240,-0.00008988
0.292000,0.04906845,0.00000716,0.51187567,0.00000301,-0.00554744,0.00000676,0.18799371,-0.00006864,0.02370260,-0.00022213,0.14446807,-0.00008855
0.294000,0.04944442,0.00000702,0.51192323,0.00000257,-0.00525937,0.00000659,0.18795220,-0.00007037,0.02401683,-0.00022137,0.14274807,-0.00008720
0.296000,0.04982030,0.00000688,0.51197142,0.00000213,-0.00497473,0.00000641,0.18791206,-0.00007209,0.02432806,-0.00022056,0.14104229,-0.00008583
0.298000,0.05019610,0.00000674,0.51202023,0.00000169,-0.00469349,0.00000625,0.18787334,-0.00007380,0.02463619,-0.00021970,0.13935060,-0.00008445
0.300000,0.05057183,0.00000659,0.51206966,0.00000126,-0.00441563,0.00000608,0.18783603,-0.00007549,0.02494110,-0.00021877,0.13767289,-0.00008306
0.302000,0.05094749,0.00000644,0.51211969,0.00000082,-0.00414112,0.00000592,0.18780009,-0.00007718,0.02524270,-0.00021779,0.13600897,-0.00008165
0.304000,0.05132307,0.00000628,0.51217032,0.00000039,-0.00386993,0.00000576,0.18776549,-0.00007885,0.02554087,-0.00021676,0.13435862,-0.00008024
0.306000,0.05169858,0.00000612,0.51222155,-0.00000004,-0.00360203,0.00000560,0.18773217,-0.00008052,0.02583553,-0.00021567,0.13272155,-0.00007882
0.308000,0.05207403,0.00000596,0.51227337,-0.00000047,-0.00333740,0.00000544,0.18770007,-0.00008217,0.02612657,-0.00021454,0.13109743,-0.00007740
0.310000,0.05244942,0.00000580,0.51232577,-0.00000090,-0.00307601,0.00000529,0.18766911,-0.00008381,0.02641390,-0.00021335,0.12948588,-0.00007598
0.312000,0.05282474,0.00000563,0.51237874,-0.00000132,-0.00281784,0.00000514,0.18763924,-0.00008543,0.02669743,-0.00021211,0.12788648,-0.00007455
0.314000,0.05320000,0.00000546,0.51243227,-0.00000174,-0.00256287,0.00000499,0.18761038,-0.00008704,0.02697707,-0.00021083,0.12629878,-0.00007312
0.316000,0.05357521,0.00000528,0.51248637,-0.00000216,-0.00231106,0.00000485,0.18758248,-0.00008864,0.02725273,-0.00020950,0.12472227,-0.00007169
0.318000,0.05395036,0.00000510,0.51254101,-0.00000258,-0.00206240,0.00000470,0.18755546,-0.00009023,0.02752433,-0.00020813,0.12315645,-0.00007026
0.320000,0.05432546,0.00000492,0.51259619,-0.00000299,-0.00181686,0.00000457,0.18752928,-0.00009180,0.02779179,-0.00020671,0.12160079,-0.00006884
0.322000,0.05470050,0.00000474,0.51265191,-0.00000341,-0.00157444,0.00000443,0.18750388,-0.00009335,0.02805503,-0.00020525,0.12005474,-0.00006742
0.324000,0.05507550,0.00000455,0.51270815,-0.00000381,-0.00133510,0.00000429,0.18747921,-0.00009490,0.02831397,-0.00020374,0.11851776,-0.00006601
0.326000,0.05545045,0.00000436,0.51276490,-0.00000422,-0.00109883,0.00000416,0.18745523,-0.00009642,0.02856855,-0.00020220,0.11698931,-0.00006461
0.328000,0.05582535,0.00000416,0.51282216,-0.00000462,-0.00086561,0.00000403,0.18743190,-0.00009793,0.02881868,-0.00020062,0.11546885,-0.00006321
0.330000,0.05620020,0.00000397,0.51287993,-0.00000502,-0.00063543,0.00000391,0.18740918,-0.00009943,0.02906431,-0.00019900,0.11395583,-0.00006182
0.332000,0.05657500,0.00000377,0.51293818,-0.00000542,-0.00040827,0.00000378,0.18738703,-0.00010091,0.02930536,-0.00019734,0.11244974,-0.00006044
0.334000,0.05694977,0.00000357,0.51299690,-0.00000581,-0.00018412,0.00000366,0.18736544,-0.00010237,0.02954177,-0.00019565,0.11095007,-0.00005907
0.336000,0.05732449,0.00000336,0.51305610,-0.00000620,0.00003703,0.00000354,0.18734437,-0.00010381,0.02977349,-0.00019392,0.10945633,-0.00005771
0.338000,0.05769917,0.00000315,0.51311577,-0.00000659,0.00025520,0.00000343,0.18732381,-0.00010524,0.03000046,-0.00019216,0.10796804,-0.00005636
0.340000,0.05807380,0.00000294,0.51317588,-0.00000697,0.00047039,0.00000331,0.18730374,-0.00010665,0.03022262,-0.00019036,0.10648476,-0.00005502
